year,ELY centre,species,Number of enterprises,Area total (ha),Young population not yet yielding any crop (ha),Crop yielding population (ha),High tunnel cultivation (ha),Yield (1 000 kg),Yield (kg/ha)
2014,Southeast Finland,Parsnip,8,..,..,..,..,26,8517
2014,Southeast Finland,Leek,5,..,..,..,..,9,11167
2014,Southeast Finland,Gherkin,9,..,..,..,..,25,24633
2014,Southeast Finland,Pumpkin,7,..,..,..,..,125,30708
2014,Southeast Finland,Courgette,5,..,..,..,..,104,21806
2014,Southeast Finland,Lettuces,..,..,..,..,..,..,..
2014,Southeast Finland,Celery,1,..,..,..,..,..,..
2014,Southeast Finland,Spinach,..,..,..,..,..,..,..
2014,Southeast Finland,Rhubarb,1,..,..,..,..,..,..
2014,Southeast Finland,Dill,16,..,..,..,..,4,2137
2014,Southeast Finland,Parsley,1,..,..,..,..,..,..
2014,Southeast Finland,Garlic,4,..,..,..,..,1,2435
2014,Southeast Finland,Sweet corn,..,..,..,..,..,..,..
2014,Southeast Finland,Asparagus,..,..,..,..,..,..,..
2014,Southeast Finland,Strawberry,60,..,..,159,..,526,3307
2014,Southeast Finland,Black and green currant,24,..,..,89,..,16,182
2014,Southeast Finland,Red currant,6,..,..,9,..,6,634
2014,Southeast Finland,White currant,3,..,..,0,..,1,1653
2014,Southeast Finland,Raspberry,31,..,..,25,..,45,1777
2014,Southeast Finland,Gooseberry,6,..,..,2,..,1,572
2014,Southeast Finland,Highbush blueberry,10,..,..,3,..,4,1251
2014,Southeast Finland,Sea buckthorn,15,..,..,3,..,1,176
2014,Southeast Finland,Chokeberry (Aronia spp.),2,..,..,..,..,..,..
2014,Southeast Finland,Apple,20,..,1,20,..,71,3419
2014,South Savo,Garden pea,45,..,..,..,..,51,1001
2014,South Savo,Bean,2,..,..,..,..,..,..
2014,South Savo,White cabbage,25,..,..,..,..,1997,34063
2014,South Savo,Savoy cabbage,1,..,..,..,..,..,..
2014,South Savo,Red cabbage,4,..,..,..,..,124,28664
2014,South Savo,Cauliflover,9,..,..,..,..,150,8272
2014,South Savo,Brussels sprout,2,..,..,..,..,..,..
2014,South Savo,Sprouting broccoli,7,..,..,..,..,292,5607
2014,South Savo,Kohlrabi,..,..,..,..,..,..,..
2014,South Savo,Chinese cabbage,16,..,..,..,..,1553,18877
2014,South Savo,Carrot,28,..,..,..,..,5620,47310
2014,South Savo,Red beet,10,..,..,..,..,222,31982
2014,South Savo,Swede,11,..,..,..,..,385,25290
2014,South Savo,Turnip,3,..,..,..,..,2,10333
2014,South Savo,Celeriac,1,..,..,..,..,..,..
2014,South Savo,Parsnip,5,..,..,..,..,46,13178
2014,South Savo,Leek,3,..,..,..,..,2,30300
2014,South Savo,Gherkin,10,..,..,..,..,10,7779
2014,South Savo,Pumpkin,..,..,..,..,..,..,..
2014,South Savo,Courgette,8,..,..,..,..,24,21649
2014,South Savo,Lettuces,..,..,..,..,..,..,..
2014,South Savo,Celery,1,..,..,..,..,..,..
2014,South Savo,Spinach,1,..,..,..,..,..,..
2014,South Savo,Rhubarb,3,..,..,..,..,1,2955
2014,South Savo,Dill,13,..,..,..,..,3,2872
2014,South Savo,Parsley,1,..,..,..,..,..,..
2014,South Savo,Garlic,6,..,..,..,..,1,1282
2014,South Savo,Sweet corn,4,..,..,..,..,1,924
2014,South Savo,Asparagus,..,..,..,..,..,..,..
2014,South Savo,Strawberry,123,..,..,234,..,1042,4443
2014,South Savo,Black and green currant,75,..,..,165,..,227,1378
2014,South Savo,Red currant,34,..,..,39,..,132,3355
2014,South Savo,White currant,12,..,..,17,..,12,695
2014,South Savo,Raspberry,76,..,..,71,..,154,2180
2014,South Savo,Gooseberry,7,..,..,2,..,5,3283
2014,South Savo,Highbush blueberry,22,..,..,7,..,23,3392
2014,South Savo,Sea buckthorn,17,..,..,6,..,4,574
2014,South Savo,Chokeberry (Aronia spp.),5,..,..,1,..,1,2297
2014,South Savo,Apple,35,..,9,20,..,65,2235
2014,North Savo,Garden pea,35,..,..,..,..,28,730
2014,North Savo,Bean,1,..,..,..,..,..,..
2014,North Savo,White cabbage,6,..,..,..,..,69,19700
2014,North Savo,Savoy cabbage,..,..,..,..,..,..,..
2014,North Savo,Red cabbage,..,..,..,..,..,..,..
2014,North Savo,Cauliflover,4,..,..,..,..,224,8024
2014,North Savo,Brussels sprout,..,..,..,..,..,..,..
2014,North Savo,Sprouting broccoli,5,..,..,..,..,236,13078
2014,North Savo,Kohlrabi,..,..,..,..,..,..,..
2014,North Savo,Chinese cabbage,..,..,..,..,..,..,..
2014,North Savo,Carrot,16,..,..,..,..,368,29806
2014,North Savo,Red beet,3,..,..,..,..,11,10910
2014,North Savo,Swede,8,..,..,..,..,226,26317
2014,North Savo,Turnip,3,..,..,..,..,1,1667
2014,North Savo,Celeriac,..,..,..,..,..,..,..
2014,North Savo,Parsnip,4,..,..,..,..,18,15172
2014,North Savo,Leek,1,..,..,..,..,..,..
2014,North Savo,Gherkin,1,..,..,..,..,..,..
2014,North Savo,Pumpkin,..,..,..,..,..,..,..
2014,North Savo,Courgette,4,..,..,..,..,10,6901
2014,North Savo,Lettuces,..,..,..,..,..,..,..
2014,North Savo,Celery,..,..,..,..,..,..,..
2014,North Savo,Spinach,..,..,..,..,..,..,..
2014,North Savo,Rhubarb,3,..,..,..,..,2,10800
2014,North Savo,Dill,2,..,..,..,..,..,..
2014,North Savo,Parsley,2,..,..,..,..,..,..
2014,North Savo,Garlic,4,..,..,..,..,0,571
2014,North Savo,Sweet corn,1,..,..,..,..,..,..
2014,North Savo,Asparagus,..,..,..,..,..,..,..
2014,North Savo,Strawberry,197,..,..,727,..,3772,5187
2014,North Savo,Black and green currant,85,..,..,221,..,365,1654
2014,North Savo,Red currant,21,..,..,11,..,37,3322
2014,North Savo,White currant,4,..,..,2,..,2,1008
2014,North Savo,Raspberry,106,..,..,87,..,218,2516
2014,North Savo,Gooseberry,7,..,..,1,..,4,3251
2014,North Savo,Highbush blueberry,16,..,..,6,..,11,1915
2014,North Savo,Sea buckthorn,13,..,..,4,..,2,487
2014,North Savo,Chokeberry (Aronia spp.),6,..,..,1,..,3,2169
2014,North Savo,Apple,21,..,5,4,..,8,818
2014,North Karelia,Garden pea,10,..,..,..,..,9,1430
2014,North Karelia,Bean,1,..,..,..,..,..,..
2014,North Karelia,White cabbage,3,..,..,..,..,150,32189
2014,North Karelia,Savoy cabbage,..,..,..,..,..,..,..
2014,North Karelia,Red cabbage,..,..,..,..,..,..,..
2014,North Karelia,Cauliflover,1,..,..,..,..,..,..
2014,North Karelia,Brussels sprout,..,..,..,..,..,..,..
2014,North Karelia,Sprouting broccoli,1,..,..,..,..,..,..
2014,North Karelia,Kohlrabi,1,..,..,..,..,..,..
2014,North Karelia,Chinese cabbage,1,..,..,..,..,..,..
2014,North Karelia,Carrot,11,..,..,..,..,410,30269
2014,North Karelia,Red beet,7,..,..,..,..,26,16418
2014,North Karelia,Swede,5,..,..,..,..,232,38473
2014,North Karelia,Turnip,1,..,..,..,..,..,..
2014,North Karelia,Celeriac,1,..,..,..,..,..,..
2014,North Karelia,Parsnip,5,..,..,..,..,4,6225
2014,North Karelia,Leek,1,..,..,..,..,..,..
2014,North Karelia,Gherkin,1,..,..,..,..,..,..
2014,North Karelia,Pumpkin,1,..,..,..,..,..,..
2014,North Karelia,Courgette,2,..,..,..,..,..,..
2014,North Karelia,Lettuces,..,..,..,..,..,..,..
2014,North Karelia,Celery,..,..,..,..,..,..,..
2014,North Karelia,Spinach,..,..,..,..,..,..,..
2014,North Karelia,Rhubarb,5,..,..,..,..,10,13072
2014,North Karelia,Dill,..,..,..,..,..,..,..
2014,North Karelia,Parsley,1,..,..,..,..,..,..
2014,North Karelia,Garlic,4,..,..,..,..,1,541
2014,North Karelia,Sweet corn,..,..,..,..,..,..,..
2014,North Karelia,Asparagus,1,..,..,..,..,..,..
2014,North Karelia,Strawberry,77,..,..,236,..,1039,4410
2014,North Karelia,Black and green currant,72,..,..,268,..,240,897
2014,North Karelia,Red currant,35,..,..,43,..,102,2353
2014,North Karelia,White currant,5,..,..,0,..,0,286
2014,North Karelia,Raspberry,39,..,..,24,..,55,2305
2014,North Karelia,Gooseberry,15,..,..,13,..,10,757
2014,North Karelia,Highbush blueberry,9,..,..,3,..,5,1329
2014,North Karelia,Sea buckthorn,12,..,..,5,..,1,190
2014,North Karelia,Chokeberry (Aronia spp.),5,..,..,0,..,1,6875
2014,North Karelia,Apple,17,..,6,5,..,16,1494
2014,Central Finland,Garden pea,19,..,..,..,..,18,1510
2014,Central Finland,Bean,2,..,..,..,..,..,..
2014,Central Finland,White cabbage,7,..,..,..,..,252,24221
2014,Central Finland,Savoy cabbage,..,..,..,..,..,..,..
2014,Central Finland,Red cabbage,..,..,..,..,..,..,..
2014,Central Finland,Cauliflover,3,..,..,..,..,4,9231
2014,Central Finland,Brussels sprout,..,..,..,..,..,..,..
2014,Central Finland,Sprouting broccoli,4,..,..,..,..,9,7172
2014,Central Finland,Kohlrabi,1,..,..,..,..,..,..
2014,Central Finland,Chinese cabbage,..,..,..,..,..,..,..
2014,Central Finland,Carrot,17,..,..,..,..,376,38713
2014,Central Finland,Red beet,8,..,..,..,..,5,7678
2014,Central Finland,Swede,6,..,..,..,..,12,18852
2014,Central Finland,Turnip,1,..,..,..,..,..,..
2014,Central Finland,Celeriac,1,..,..,..,..,..,..
2014,Central Finland,Parsnip,2,..,..,..,..,..,..
2014,Central Finland,Leek,1,..,..,..,..,..,..
2014,Central Finland,Gherkin,1,..,..,..,..,..,..
2014,Central Finland,Pumpkin,1,..,..,..,..,..,..
2014,Central Finland,Courgette,1,..,..,..,..,..,..
2014,Central Finland,Lettuces,..,..,..,..,..,..,..
2014,Central Finland,Celery,..,..,..,..,..,..,..
2014,Central Finland,Spinach,..,..,..,..,..,..,..
2014,Central Finland,Rhubarb,..,..,..,..,..,..,..
2014,Central Finland,Dill,3,..,..,..,..,1,1879
2014,Central Finland,Parsley,1,..,..,..,..,..,..
2014,Central Finland,Garlic,2,..,..,..,..,..,..
2014,Central Finland,Sweet corn,1,..,..,..,..,..,..
2014,Central Finland,Asparagus,1,..,..,..,..,..,..
2014,Central Finland,Strawberry,61,..,..,84,..,182,2179
2014,Central Finland,Black and green currant,51,..,..,97,..,143,1470
2014,Central Finland,Red currant,17,..,..,16,..,83,5205
2014,Central Finland,White currant,9,..,..,20,..,95,4847
2014,Central Finland,Raspberry,24,..,..,9,..,18,1908
2014,Central Finland,Gooseberry,5,..,..,2,..,8,3715
2014,Central Finland,Highbush blueberry,16,..,..,8,..,13,1691
2014,Central Finland,Sea buckthorn,11,..,..,2,..,1,325
2014,Central Finland,Chokeberry (Aronia spp.),2,..,..,..,..,..,..
2014,Central Finland,Apple,22,..,2,12,..,24,1738
2014,South Ostrobothnia,Garden pea,7,..,..,..,..,5,1019
2014,South Ostrobothnia,Bean,..,..,..,..,..,..,..
2014,South Ostrobothnia,White cabbage,2,..,..,..,..,..,..
2014,South Ostrobothnia,Savoy cabbage,..,..,..,..,..,..,..
2014,South Ostrobothnia,Red cabbage,..,..,..,..,..,..,..
2014,South Ostrobothnia,Cauliflover,1,..,..,..,..,..,..
2014,South Ostrobothnia,Brussels sprout,..,..,..,..,..,..,..
2014,South Ostrobothnia,Sprouting broccoli,1,..,..,..,..,..,..
2014,South Ostrobothnia,Kohlrabi,..,..,..,..,..,..,..
2014,South Ostrobothnia,Chinese cabbage,..,..,..,..,..,..,..
2014,South Ostrobothnia,Carrot,15,..,..,..,..,1922,42117
2014,South Ostrobothnia,Red beet,4,..,..,..,..,10,13740
2014,South Ostrobothnia,Swede,8,..,..,..,..,23,6452
2014,South Ostrobothnia,Turnip,1,..,..,..,..,..,..
2014,South Ostrobothnia,Celeriac,..,..,..,..,..,..,..
2014,South Ostrobothnia,Parsnip,1,..,..,..,..,..,..
2014,South Ostrobothnia,Leek,..,..,..,..,..,..,..
2014,South Ostrobothnia,Gherkin,..,..,..,..,..,..,..
2014,South Ostrobothnia,Pumpkin,..,..,..,..,..,..,..
2014,South Ostrobothnia,Courgette,1,..,..,..,..,..,..
2014,South Ostrobothnia,Lettuces,..,..,..,..,..,..,..
2014,South Ostrobothnia,Celery,..,..,..,..,..,..,..
2014,South Ostrobothnia,Spinach,..,..,..,..,..,..,..
2014,South Ostrobothnia,Rhubarb,1,..,..,..,..,..,..
2014,South Ostrobothnia,Dill,1,..,..,..,..,..,..
2014,South Ostrobothnia,Parsley,..,..,..,..,..,..,..
2014,South Ostrobothnia,Garlic,1,..,..,..,..,..,..
2014,South Ostrobothnia,Sweet corn,..,..,..,..,..,..,..
2014,South Ostrobothnia,Asparagus,..,..,..,..,..,..,..
2014,South Ostrobothnia,Strawberry,47,..,..,72,..,219,3018
2014,South Ostrobothnia,Black and green currant,27,..,..,13,..,4,282
2014,South Ostrobothnia,Red currant,2,..,..,..,..,..,..
2014,South Ostrobothnia,White currant,1,..,..,..,..,..,..
2014,South Ostrobothnia,Raspberry,25,..,..,12,..,27,2269
2014,South Ostrobothnia,Gooseberry,..,..,..,..,..,..,..
2014,South Ostrobothnia,Highbush blueberry,4,..,..,2,..,0,235
2014,South Ostrobothnia,Sea buckthorn,42,..,..,53,..,5,100
2014,South Ostrobothnia,Chokeberry (Aronia spp.),4,..,..,1,..,20,14706
2014,South Ostrobothnia,Apple,3,..,..,2,..,1,348
2014,Ostrobothnia,Garden pea,9,..,..,..,..,30,1917
2014,Ostrobothnia,Bean,1,..,..,..,..,..,..
2014,Ostrobothnia,White cabbage,27,..,..,..,..,8216,58454
2014,Ostrobothnia,Savoy cabbage,1,..,..,..,..,..,..
2014,Ostrobothnia,Red cabbage,9,..,..,..,..,241,40150
2014,Ostrobothnia,Cauliflover,11,..,..,..,..,122,13668
2014,Ostrobothnia,Brussels sprout,1,..,..,..,..,..,..
2014,Ostrobothnia,Sprouting broccoli,11,..,..,..,..,84,6864
2014,Ostrobothnia,Kohlrabi,3,..,..,..,..,1,3923
2014,Ostrobothnia,Chinese cabbage,8,..,..,..,..,204,22338
2014,Ostrobothnia,Carrot,20,..,..,..,..,3395,39015
2014,Ostrobothnia,Red beet,10,..,..,..,..,104,13461
2014,Ostrobothnia,Swede,6,..,..,..,..,36,16976
2014,Ostrobothnia,Turnip,3,..,..,..,..,1,2000
2014,Ostrobothnia,Celeriac,2,..,..,..,..,..,..
2014,Ostrobothnia,Parsnip,5,..,..,..,..,39,15397
2014,Ostrobothnia,Leek,3,..,..,..,..,9,13916
2014,Ostrobothnia,Gherkin,2,..,..,..,..,..,..
2014,Ostrobothnia,Pumpkin,1,..,..,..,..,..,..
2014,Ostrobothnia,Courgette,4,..,..,..,..,12,25870
